,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK
82,hacettepe.edu,7,Nofollow,,subdomains,both,0,32498458,,,,,,,,,,,,,,12,12,1,16,15,188,187,1,,,,,,,,Полуавто
83,storeboard.com,78,Dofollow,статейная,subdomains,both,15,22320,23863,41,521,1955,9033,12313,3669,1850.95,"(us, 1014)",,,,,57115,18176,40352,43333,18039,3899750,2219100,1680650,848,4152,11,12,36,37,,Полуавто
84,my.omsystem.com,76,Dofollow,профиль,subdomains,both,23,32865,2115,71,158,251,833,802,9276,1080.53,"(id, 6812)",1,1,,,36502,19965,19904,31917,13115,3989703,2373842,1615861,4219,"1,02E+08",41475,43259,4207421,4412835,,Полуавто
85,Anotepad.com,76,dofollow,"На сайте не нужна регистрация, мы сразу попадаем на нужную страницу, где можно оставить статью со ссылкой. После размещения материала и публикации у вас изменится URL страницы. По этому адресу она будет открываться у других пользователей как обычная статья.",subdomains,both,33,30710,8531,766,508,417,1831,5009,239578,21906.46,"(br, 56713)",,,,,68189,19784,50861,50927,20637,8560136,4155079,4405057,1534,23065,4,7,305,1426,,Авто
86,Blogfreely.net,75,dofollow,Полный аналог предыдущего сайта с жирным показателем DR. Проходим простую регистрацию с подтверждением почты. Аналогично публикуем статью со ссылкой на продвигаемый сайт.,subdomains,both,32,40541,1,,,,,1,,,"(at, 0)",,,,,55677,14973,42377,43042,17801,4206555,1906100,2300455,1326,2469025,,45761,,14270054,,Полуавто
87,Pastelink.net,76,dofollow,"Регистрация не требует подтверждения почты и других данных. После регистрации можно сразу опубликовать запись, в которую вставляем ссылку с нужным анкором.",subdomains,both,31,30750,8476,175,540,1234,2429,4098,9431,3303.69,"(id, 4146)",,,,,67676,18309,51726,51588,20501,78180510,27159537,51020973,7746,12183904,22,132528,4616256,21809934,,Авто
88,learn.acloud.guru,74,dofollow,,subdomains,both,11,45492,555,46,90,68,215,136,5760,474.78,"(us, 3922)",,,,,7140,3411,3939,6570,4082,374547,207101,167446,172,966,9,18,754,3366,,Полуавто
89,stcloudstate.edu,75,Nofollow,,subdomains,both,28,39163,43135,935,2189,4102,15019,20890,65000,79769.10,"(us, 58125)",174,216,961,4908.87,11867,8280,3727,10564,5814,170853,144817,26036,60,68105918,4773,65608,1764936,1962080,,Полуавто
90,slideserve.com,77,Nofollow,профиль,subdomains,both,16,25340,380525,1961,12028,19874,111411,235251,151515,29398.38,"(in, 114452)",,,,,55952,27440,29823,42663,18599,7474090,4559072,2915018,1481,"3,69E+08",15,68680,24734109,25010583,,Полуавто
91,divephotoguide.com,76,Dofollow,профиль,subdomains,both,19,32437,6056,34,237,440,2185,3160,941,171.83,"(us, 622)",,,,,66203,23129,47540,50501,20946,8432436,4581416,3851020,1619,3903912,84238,98821,11185694,11741589,,Полуавто
92,Controlc.com,75,dofollow,"Никакой регистрации не требуется, переходим по ссылке и публикуем контент со ссылкой на свой проект. Важно отметить, что размещаемая ссылка является безанкорной.",subdomains,both,32,41615,888,27,84,114,376,287,895,сен.71,"(us, 219)",,,,,31312,9219,22752,26683,11774,9472159,1536395,7935764,3717,598970,5,6,6,12,,Авто
93,Postheaven.net,75,dofollow,"Сайт с быстрей регистрацией, для которой нужно указать почту, пароль и название сайта. Подтверждать почту не нужно. В открывшемся после регистрации текстовом редакторе вставляем нужный текст со ссылкой. Безанкорная ссылка вставляется напрямую, а анкорную нужно оформить через html код.",subdomains,both,32,40079,123,,,,15,108,,0.03,"(us, 0)",,,,,60714,16194,46698,46243,18973,12468235,4678660,7789575,1015,1865869,2541,97692,380532,9044757,,Авто
94,reactos.org,74,Dofollow,профиль,subdomains,both,42,45179,3054,25,178,349,1088,1414,13280,11839.55,"(us, 6351)",,,,,20052,8694,12050,18417,9238,1350340,945977,404363,211,"1,12E+08",402,2348,1285802,1454171,,Полуавто
95,globalhealthtrials.tghn.org,75,dofollow,,subdomains,both,13,43232,238,8,22,37,93,78,120,36.98,"(us, 98)",,,,,9275,6047,3442,8593,4487,188816,138907,49909,74,"2,48E+08",16381,16538,6834923,8238747,,Полуавто
96,Hawkee.com,72,dofollow,"После регистрации обязательно подтверждаем почту и переходим в аккаунт. В настройках профиля устанавливаем ссылку на продвигаемый сайт. После этого в профиле создаем Треды с нужным нам контентом, дальше просто индексируем страницу профиля.",subdomains,both,20,72367,15,1,,,6,8,22,0.00,"(us, 22)",,,,,20356,6403,14640,18892,8836,4861843,2205033,2656810,890,8630653,2523,2872,1199497,1214087,,Полуавто
97,starity.hu,73,dofollow,профиль,subdomains,both,20,66862,38467,1482,5807,4704,14998,11476,60996,737.45,"(hu, 58148)",,,,,24656,9399,16164,22570,9964,5300353,1627490,3672863,1226,"2,63E+08",14942,15041,8812617,11652858,,Полуавто
98,Worldcosplay.net,73,dofollow,Проходим регистрацию и подтверждаем по почте. В информации профиля находим пункт “О себе”. Вставляем небольшой отрезок текста и ссылку. Ссылка анкор через HTML.,subdomains,both,27,63841,,,,,,,,,,,,,,17047,6151,11321,16793,8261,2386269,1215015,1171254,1293,,,,,,,Полуавто
99,www.curioos.com,72,dofollow,,subdomains,both,23,82294,14,1,,2,7,4,6,35.67,"(us, 6)",,,,,9395,3910,5716,10151,5062,779509,506321,273188,100,3953255,6,7,622411,681387,,Полуавто
100,bahamaslocal.com,71,dofollow,"Пример размещения:,,Полуавто
https://www.google.com/search?q=site%3Ahttps%3A%2F%2Fbahamaslocal.com%2Fuserprofile%2F",subdomains,both,13,89725,19264,1898,1988,1896,5880,7602,18140,4904.83,"(bs, 17496)",,,,,11423,4939,6704,12046,5703,1477284,1032674,444610,888,30806571,11460,11468,1305357,1331843,,Полуавто
101,gotartwork.com,72,dofollow,,subdomains,both,19,85501,220,4,28,37,95,56,111,фев.19,"(us, 32)",,,,,18713,9192,10666,17228,8415,1286425,440032,846393,1611,53780304,34159,34429,13065959,13120193,,Полуавто
102,promosimple.com,72,Dofollow,статейная,subdomains,both,33,71132,508,1,27,37,153,290,25,дек.46,"(us, 18)",,,,,27157,12095,16706,23427,10944,1763573,1255328,508245,790,551604,27141,27355,2062791,2098302,,Полуавто
103,dermandar.com,73,Dofollow,профиль,subdomains,both,27,57709,148,1,6,17,68,56,48,янв.79,"(us, 39)",,,,,46160,19274,32247,38043,15643,9044438,2941759,6102679,1192,243742,63362,63362,112789,112797,,Полуавто
104,chordie.com,73,Dofollow,профиль,subdomains,both,19,59191,109395,5562,18045,20886,43497,21405,137306,14632.98,"(us, 69206)",,,,,38087,12936,26132,32203,13969,7035187,2346074,4689113,146,23221030,60150,60151,2403022,2403052,,Полуавто
105,bookmeter.com,73,dofollow,,subdomains,both,31,66615,197868,8986,33370,41891,83354,30267,753351,57573.83,"(jp, 749631)",,,,,12280,7158,5415,12618,5410,1945279,1585603,359676,75412,"2,10E+08",10349,10351,25938754,30529407,,Полуавто
106,doodleordie.com,73,dofollow,,subdomains,both,33,56627,660,8,32,36,216,368,945,01.фев,"(us, 650)",,,,,52644,16877,37845,41944,17246,7400428,3614543,3785885,1413,70058877,75767,75768,19432244,24128536,,Полуавто
107,wakelet.com,85,dofollow,"Хоть и типа сервис закладок, но ранжируется по текстам из профиля на ура.,,Полуавто
Выглядит так: https://wakelet.com/HowtobecomeaMontanaPrivateInvestigator590",subdomains,both,41,4951,33229,165,471,1481,12143,18969,41299,48783.83,"(us, 11772)",,,,,101586,43671,62717,62952,25397,33858224,17443282,16414942,5297,31926640,5422,75046,4246127,5543553,,Полуавто
108,click4r.com,72,Dofollow,https://www.google.com/search?q=site%3Ahttps%3A%2F%2Fclick4r.com%2Fposts,subdomains,both,39,69166,5,,,,,5,,0.00,"(us, 0)",,,,,49272,15602,35390,39820,17221,8556221,3963023,4593198,2057,14860308,53263,53822,1260252,3119111,,Полуавто
109,globalcatalog.com,72,dofollow,,subdomains,both,15,74087,17,2,3,,6,6,73,авг.32,"(in, 59)",,,,,20856,7061,14239,18061,8823,3522382,1805717,1716665,577,137526,6,6,43,43,,Полуавто
110,kktix.com,71,dofollow,,subdomains,both,37,87426,12250,470,1265,1060,3811,5644,353244,36047.85,"(tw, 163074)",,,,,13227,6025,7622,13268,6419,4161151,3457497,703654,1694,6116666,7227,7228,1500927,1705298,,Полуавто
111,techsite.io,67,dofollow,"Жмем Опубликовать бесплатно и регаемся (с подтверждением по мылу).,,Полуавто
Заполняем профиль (там тоже есть урл, но он нам не нужен особо).,,Полуавто
Нажимаем иконку Редактировать (ручка в синем круге) и создаем пост с ссылкой в тексте.,,Полуавто
Сохраняем пост и его урл индексим у гугла.",subdomains,both,8,153392,,,,,,,,,,,,,,4889,1805,3156,4154,2781,67884,33516,34368,9,,,1,,1659,,Полуавто
112,orangepi.org,71,dofollow,https://www.google.com/search?q=site%3Ahttps%3A%2F%2Forangepi.org%2Forangepibbsen%2Fhome.php,subdomains,both,14,90427,6187,198,131,286,1690,3882,48602,4519.27,"(us, 15580)",,,,,27363,6965,20949,23320,10965,2410270,1757921,652349,39,14867596,22206,22232,1985851,2205692,,Полуавто
113,community.she.com,70,Nofollow,,subdomains,both,04.янв.,119257,,,,,,,,,,,,,,10862,5637,5518,10729,4823,1289450,1040366,249084,321,19661424,7136,13766,2220208,2564580,,Полуавто
114,roomstyler.com,73,dofollow,,subdomains,both,33,58760,16671,787,850,815,4251,9968,82979,33527.71,"(us, 37248)",,,,,49481,14061,37161,38406,16242,5259102,3039535,2219567,938,3951,47,701,616,1676,,Полуавто
115,my.olympus-consumer.com,69,dofollow,,subdomains,both,28,136873,,,,,,,,,,,,,,3249,1647,1668,2862,2022,59329,41823,17506,51,,,1,,11,,Полуавто
116,lawyersclubindia.com,64,Dofollow,профиль,subdomains,both,8,209783,45514,190,859,1764,12795,29906,9058,150.26,"(in, 6091)",,,,,9225,3774,5697,8828,5466,755029,173946,581083,48,45470066,1261,2428,5036753,7409096,,Полуавто
117,Thepollsters.com,53,dofollow,"После регистрации подтверждаем почту и проходим в профиле 2 этапа аутентификации: через почту и QR-код. После этого оставляем запись на форуме нативно, с нужной ссылкой.",subdomains,both,14,575378,883,,,2,51,830,1,0.17,"(us, 1)",,,,,1468,439,1062,1428,1153,60250,11775,48475,37,82624,351,384,4260,5064,,Полуавто
118,babelcube.com,72,dofollow,,subdomains,both,20,81937,1021,9,51,93,370,498,1708,394.41,"(vn, 1167)",,,,,25832,10600,16079,23211,10609,4103326,2495130,1608196,1087,1980207,46030,48206,381984,396258,,Полуавто
119,edu.fudanedu.uk,64,Nofollow,Edu профиль Пример размещения - https://edu.fudanedu.uk/user/roxannemartin1/,subdomains,both,7,214997,5,,,,,5,,,"(us, 0)",,,,,10214,2960,7801,10333,4896,339321,133762,205559,46,,,,,,,Полуавто
120,beermapping.com,65,Dofollow,профиль,subdomains,both,22,188130,13,3,,,3,7,29,май.43,"(us, 29)",,,,,7186,2725,4664,6961,4269,1500907,646637,854270,437,88,,,,,,Полуавто
121,gettogether.community,70,dofollow,https://www.google.com/search?q=site%3Ahttps%3A%2F%2Fgettogether.community%2Fprofile%2F,subdomains,both,17,112566,678,2,35,67,257,317,719,47.42,"(in, 661)",,,,,28461,13262,18311,24406,10945,2776367,1715791,1060576,509,2600781,47731,47788,164060,171626,,Полуавто
122,gitlab.sleepace.com,63,Dofollow,профиль,subdomains,both,13,228158,,,,,,,,,,,,,,10997,2131,9011,10642,5729,772251,124676,647575,505,4657,15,18,307,670,,Полуавто
123,careercup.com,68,dofollow,,subdomains,both,12,147852,,,,,,,,,,,,,,5748,2194,3705,5658,3669,394080,122596,271484,16,,,1,,3733,,Полуавто
124,heber-ut.granicusideas.com,69,Dofollow,статейная,subdomains,both,0.4,127572,,,,,,,,,,,,,,14530,5002,9796,13175,6735,1646049,809499,836550,102,21123724,117655,117655,11025102,11025233,,Полуавто
125,ict-edu.uk,62,Nofollow,Edu профиль Пример размещения - https://ict-edu.uk/user/roxannemartin1/,subdomains,both,27,253086,3,,,,1,2,,,"(ru, 0)",,,,,12007,3316,9397,11610,5325,540893,285478,255415,123,,,,,,,Полуавто
126,jobhop.co.uk,66,Dofollow,статейная,subdomains,both,18,177411,364,,11,18,126,209,59,174.12,"(gb, 52)",,,,,26488,13485,17023,22231,9778,1447342,1135507,311835,170,906492,29327,29672,1021952,1075665,,Полуавто
127,postgresconf.org,70,dofollow,,subdomains,both,26,114267,479,30,104,83,148,114,455,236.11,"(us, 452)",,,,,22182,9515,14933,19466,8759,1520118,1127569,392549,300,90382,5331,5332,167907,168377,,Полуавто
128,flokii.com,64,Dofollow,статейная,subdomains,both,9,212034,8834,54,288,628,4062,3802,1106,461.49,"(us, 807)",,,,,23478,6728,17762,19557,9394,1554707,559640,995067,148,85292501,100550,108450,1809557,1915360,,Полуавто
129,fnetchat.com,61,Nofollow,статейная,subdomains,both,35,262368,18,,2,1,8,7,1122,22.42,"(id, 1122)",,,,,4827,2347,2667,4300,2743,413878,283109,130769,13,376,1,2,566,602,,Полуавто
130,Greasyfork.org,78,Nofollow,"Регистрируем аккаунт и подтверждает его по почте. На сайте можно найти множество обсуждений, среди которых необходимо подобрать подходящее по тематике. Ссылка оставляется в комментарии.",subdomains,both,28,20516,46761,1754,6861,9210,16097,12839,288712,34376.77,"(cl, 69181)",,,,,15621,10838,5336,14369,8454,1154558,1002545,152013,19374,77744478,122,10864,9933222,10240352,,Полуавто
131,theomnibuzz.com,67,Nofollow,Тип: статейная Пример размещения - https://theomnibuzz.com/discover-the-best-skincare-cleansers/,subdomains,both,18,155291,4,3,,,1,,278,0.00,"(in, 278)",,,,,18128,7198,11347,16448,7864,958876,612667,346209,161,3928631,624,32310,210473,470461,,Полуавто
132,blend.io,56,dofollow,https://www.google.com/search?q=site%3Ahttps%3A%2F%2Fblend.io%2F,subdomains,both,23,451677,,,,,,,,,,,,,,7777,1347,6482,6962,4045,474918,174771,300147,16,6,1,1,6,6,,Полуавто
133,copytechnet.com,60,Dofollow,форум,subdomains,both,6,302516,6649,118,940,1646,2500,1445,2601,518.51,"(us, 2096)",,,,,4591,2050,2621,4146,2632,114455,34736,79719,84,8170103,9870,9871,423040,423043,,Полуавто
134,mecabricks.com,66,Nofollow,профиль,subdomains,both,21,175702,7527,80,362,969,3327,2789,6611,1452.87,"(us, 4992)",,,,,22816,9954,13303,20121,8600,2651795,1711075,940720,105,1413265,6,758,359880,387242,,Полуавто
135,www.gothicpast.com,57,dofollow,,subdomains,both,9,407209,,,,,,,,,,,,,,11015,2103,8988,9309,5234,981218,47043,934175,9,1278114,532,535,139539,139555,,Полуавто
136,ottawaks.gov,56,Dofollow,,subdomains,both,8,419797,712,39,56,103,322,192,1492,1120.77,"(us, 1478)",,,,,5481,2154,3401,6489,3089,368641,245959,122682,29,10123,122,123,3984,4000,,Полуавто
137,homment.com,59,Dofollow,статейная,subdomains,both,11,331919,1,,,,,1,,,"(de, 0)",,,,,8131,3660,4647,8146,4225,5309671,1438265,3871406,27,5303,27,28,1987,3671,,Полуавто
138,udrpsearch.com,64,dofollow,https://www.google.com/search?q=site%3Ahttps%3A%2F%2Fwww.udrpsearch.com%2Fuser%2F,subdomains,both,14,215359,282,2,34,60,130,56,44,0.13,"(in, 21)",,,,,19245,7472,12650,17785,7848,1430045,1006691,423354,45,467549,17797,17798,131546,131562,,Полуавто
139,xaphyr.com,64,Dofollow,статейная,subdomains,both,7,212844,2,,,,2,,,0.00,"(us, 0)",,,,,24585,6690,18302,21733,9858,1198832,734983,463849,143,,,,,,,Полуавто
140,https://betapage.co/,63,dofollow,,subdomains,both,20,223163,1,,,,1,,,0.00,"(us, 0)",,,,,2171,1058,1162,1889,1513,38981,30187,8794,113,,,1,,49,,Полуавто
141,Dreamyblogs.com,60,dofollow,Переходим на страницу dreamyblogs.com/register и регистрируемся на сайте. После регистрации попадаем на страницу профиля и добавляем новую статью со ссылкой на нужный нам сайт.,subdomains,both,8,308474,5,,,,,5,,0.00,"(us, 0)",,,,,21508,6591,15396,18849,7904,2383873,2174982,208891,227,8682577,43916,44313,988677,1139287,,Авто
142,Dgbloggers.com,58,dofollow,"Регистрация осуществляется по ссылке dgbloggers.com/register, после чего не требуется подтверждать почту. После регистрации попадаем в личный кабинет и размещаем новый пост со ссылкой на нужный сайт.",subdomains,both,15,363296,7,,,,,7,,0.00,"(us, 0)",,,,,20043,5615,14621,17441,7608,2324921,2113079,211842,268,25071060,90239,91169,3363223,3710961,,Авто
143,Goabroadblog.com,57,dofollow,"Мощный сайт, на который ссылается 24 000 уникальных домена. При регистрации не используйте VPN, так как с некоторыми его версиями сайт может отдавать код ответа 500.",subdomains,both,7,382977,10,,,,2,8,,0.00,"(us, 0)",,,,,19989,6166,14224,17405,7405,1754690,1585505,169185,238,15258014,67105,67898,2153365,2368684,,Полуавто
144,opensocialfactory.com,58,Dofollow,,subdomains,both,15,346378,27,,,1,2,24,,0.08,"(ca, 0)",,,,,16208,5506,10948,14386,6395,1262069,617317,644752,64,16758473,22323,22324,888934,1341470,,Полуавто
145,opensocialfactory.com,58,Dofollow,,subdomains,both,15,346378,27,,,1,2,24,,0.08,"(ca, 0)",,,,,16208,5506,10948,14386,6395,1262069,617317,644752,64,16758473,22323,22324,888934,1341470,,Полуавто
146,mediajx.com,57,Dofollow,,subdomains,both,23,388561,21,,,,,21,,0.00,"(in, 0)",,,,,15794,4482,11550,14321,6553,1778787,609984,1168803,78,16263890,21491,21492,859708,1298704,,Полуавто
147,pitchwall.co,64,dofollow,профиль,subdomains,both,23,203863,3133,130,486,605,1171,741,5588,2083.03,"(id, 2175)",,,,,8699,3476,5448,8286,4671,725017,422649,302368,516,112785,3832,4285,39186,43686,,Полуавто
148,Theideasblog.com,57,dofollow,"После регистрации в админ панели ищем меню с добавлением статьи. Используем созданный контент и вставляем статью со ссылкой, после чего публикуем.",subdomains,both,6,381873,4,,,,,4,,0.00,"(ca, 0)",,,,,21410,6092,15757,18541,7993,2281116,2071036,210080,273,13912720,59675,60312,1514842,1696337,,Авто
149,Blog4youth.com,59,dofollow,,subdomains,both,04.апр.,320278,12,,,,5,7,,0.01,"(us, 0)",,,,,21156,6133,15248,18305,7813,2284910,2071906,213004,256,19956405,77649,78619,2592966,2889021,,Полуавто
150,Blogofchange.com,60,Dofollow,,subdomains,both,12,290957,9,,,,3,6,,0.00,"(in, 0)",,,,,22597,6891,16141,19583,8106,2285769,2017908,267861,246,17376506,61270,62033,1743386,1917958,,Полуавто
151,Bloggactivo.com,59,Dofollow,Регистрируемся по ссылке на сайте без подтверждения электронной почт. Попадаем в админку и публикуем статью с нужной нам ссылкой.,subdomains,both,14,321631,431,,4,6,90,331,4,0.23,"(id, 2)",,,,,22229,7259,15387,19272,7903,2374635,2124122,250513,230,41988666,77711,78493,4853511,5157507,,Авто
152,Bloggactivo.com,59,Dofollow,Регистрируемся по ссылке на сайте без подтверждения электронной почт. Попадаем в админку и публикуем статью с нужной нам ссылкой.,subdomains,both,14,321631,431,,4,6,90,331,4,0.23,"(id, 2)",,,,,22229,7259,15387,19272,7903,2374635,2124122,250513,230,41988666,77711,78493,4853511,5157507,,Авто
153,socialnetworkadsinfo.com,53,Dofollow,,subdomains,both,10,561342,23,,,,2,21,,0.00,"(id, 0)",,,,,10747,3810,7027,9328,4589,632830,578399,54431,40,20026927,22897,22898,1011799,1550261,,Полуавто
154,dirstop.com,59,Dofollow,,subdomains,both,15,337068,29,,,,4,25,,0.05,"(ca, 0)",,,,,17064,5112,12316,15436,7031,1501499,801919,699580,58,21959097,27819,27820,1165500,1758446,,Полуавто
155,socialmediastore.net,56,Dofollow,,subdomains,both,11,435665,11,,,,,11,,0.00,"(in, 0)",,,,,13193,4387,9032,11745,5568,628787,524464,104323,56,18996393,29407,29408,990561,1501926,,Полуавто
156,getsocialpr.com,54,Dofollow,,subdomains,both,16,539591,16,,,,1,15,,0.00,"(us, 0)",,,,,12853,4206,8902,11484,5368,871852,804103,67749,56,14697785,20979,20980,737721,1134574,,Полуавто
157,socialmediastore.net,56,Dofollow,,subdomains,both,11,435665,11,,,,,11,,0.00,"(in, 0)",,,,,13193,4387,9032,11745,5568,628787,524464,104323,56,18996393,29407,29408,990561,1501926,,Полуавто
158,getsocialpr.com,54,Dofollow,,subdomains,both,16,539591,16,,,,1,15,,0.00,"(us, 0)",,,,,12853,4206,8902,11484,5368,871852,804103,67749,56,14697785,20979,20980,737721,1134574,,Полуавто
159,meuanunciogratis.com.br,50,Dofollow,профиль,subdomains,both,0.9,743791,,,,,,,,,,,,,,1928,676,1300,1887,1438,38170,12420,25750,11,,,,,,,Полуавто
160,Federatedjournals.com,65,dofollow,"Также регистрация довольно простая, нужно указать лишь почту, пароль и логин. После регистрации переходим на главную страницу профиля и добавляем пост со своей статьей, в которой размещается ссылка.",subdomains,both,04.июл.,181363,121,,,1,14,106,2,0.54,"(nl, 2)",,,,,38923,9666,30053,31741,13379,7554660,1628537,5926123,489,2449508,39194,39358,1815162,1873507,,Авто
161,Ltfblog.com,58,dofollow,"Регистрируемся по ссылке ltfblog.com/register, создаем блог и нажимаем на Add New Post. Добавляем пост и нужную нам ссылку. Входим на сайт без VPN. С некоторыми VPN сайт не открывается.",subdomains,both,8,363187,,,,,,,,,,,,,,19426,5769,14038,17150,7442,2086259,1929674,156585,212,18196885,73166,73814,2775530,3025878,,Авто
162,Blogtov.com,56,dofollow,"Переходим сразу по ссылке blogtov.com/register и проходим регистрацию. Почту подтверждать не нужно, сразу попадаем в админку блога. Переходим на вкладку Add New Post и публикуем запись.",subdomains,both,10,426551,,,,,,,,,,,,,,19925,5802,14346,17820,7479,1784537,1608622,175915,241,23372103,80438,81457,3120311,3504548,,Авто
163,Blazingblog.com,58,dofollow,"Регистрируемся и попадаем в админку, где можем без проблем разместить статью и ссылку в ней. При входе допускается использование ВПН сервисов.",subdomains,both,7,347658,,,,,,,,,,,,,,19986,5874,14328,17310,7366,1727236,1552767,174469,230,15314574,68603,69387,2048230,2292653,,Авто
164,Myparisblog.com,59,dofollow,"Стандартная регистрация, которая требует указания почты и названия блога. Переходим в админку, с которой можем постить статьи и управлять ими.",subdomains,both,8,333936,5,,,,1,4,,0.00,"(sg, 0)",,,,,21628,6495,15573,18610,7904,2052587,1823209,229378,206,18635423,71648,72416,2271098,2533488,,Авто
165,Losblogos.com,56,dofollow,"Регистрируемся на сайте и без подтверждения почты переходим в админку. Публикуем новый материал, добавляем графические материалы и ссылку на нужный вам ресурс.",subdomains,both,04.мар.,414223,24,,,,2,22,,0.00,"(us, 0)",,,,,19700,5910,14215,17633,7491,2151686,1988358,163328,223,7579433,44458,44851,1086469,1206430,,Авто
166,Blogunteer.com,58,dofollow,,subdomains,both,13,368661,6,,,,2,4,,0.00,"(ae, 0)",,,,,19822,5649,14394,17550,7425,2178567,2003659,174908,244,6838093,42996,43350,1005195,1123385,,Авто
167,aiti.edu.vn,52,Nofollow,,subdomains,both,7,656831,16,,,1,4,11,,0.00,"(vn, 0)",,,,,4888,1479,3499,5826,2697,80320,58089,22231,14,,,,,,,Полуавто
168,Bloggadores.com,57,Dofollow,"После регистрации в соответствующем меню находим вкладку Add new post и добавляем контент, в который вставляем анкорную или безанкорную ссылку.",subdomains,both,11,387374,267,,,3,32,232,2,фев.91,"(us, 2)",,,,,21610,6601,15498,18737,7926,2687025,2447347,239678,216,9893907,27595,27921,782231,835890,,Авто
169,Bloggadores.com,57,Dofollow,"После регистрации в соответствующем меню находим вкладку Add new post и добавляем контент, в который вставляем анкорную или безанкорную ссылку.",subdomains,both,11,387374,267,,,3,32,232,2,фев.91,"(us, 2)",,,,,21610,6601,15498,18737,7926,2687025,2447347,239678,216,9893907,27595,27921,782231,835890,,Авто
170,bookmarkloves.com,54,Dofollow,,subdomains,both,16,504159,23,,,,1,22,,0.00,"(kr, 0)",,,,,13606,4333,9543,12379,5796,605922,516776,89146,66,21257245,31169,31170,1092276,1665649,,Полуавто
171,robotech.com,54,Dofollow,Тип: форумная Пример размещения - https://robotech.com/forums/viewthread/2212994,subdomains,both,31,507045,360,40,67,52,84,117,746,109.00,"(us, 703)",,,,,19943,2814,17293,15924,8204,292149,199376,92773,51,33258,89,89,3267,3467,,Полуавто
172,Blogchaat.com,57,dofollow,"Регистрируемся по ссылке blogchaat.com/register, указываем необходимые данные и переходим сразу в админ панель. Публикуем контент и в него вставляем нужную анкорную или безанкорную ссылку.",subdomains,both,1,391984,10,,,,2,8,,0.00,"(us, 0)",,,,,21178,6545,15136,18278,7810,1790857,1570881,219976,249,17441225,78716,79453,2577047,2835694,,Авто
173,Eedblog.com,57,dofollow,,subdomains,both,13,397982,10,,,,3,7,,0.00,"(us, 0)",,,,,19689,5886,14161,17267,7432,1745854,1538249,207605,225,13387334,63973,64554,1937274,2149826,,Авто
174,Creacionblog.com,57,Dofollow,"Регистрация не требует подтверждения на почте, поэтому выполняется в несколько минут. Переходим в админку и нажимаем Add new post, после чего публикуем материал и ссылку.",subdomains,both,10,401123,435,5,18,38,168,206,252,52.62,"(id, 184)",,,,,21129,6633,14932,18399,7762,1751733,1547254,204479,236,39866279,104304,105301,5276568,5819988,,Авто
175,Digitollblog.com,56,Dofollow,"Качественный сайт для размещения поста после предварительной регистрации. Вставляем пост внутри админки, после чего получаем ссылку на статью, которую можно проиндексировать.",subdomains,both,11,447849,4,,,,,4,,0.00,"(gb, 0)",,,,,20302,5659,14923,17644,7598,1696112,1511802,184310,245,14992300,69592,70311,2054400,2292806,,Авто
176,Creacionblog.com,57,Dofollow,"Регистрация не требует подтверждения на почте, поэтому выполняется в несколько минут. Переходим в админку и нажимаем Add new post, после чего публикуем материал и ссылку.",subdomains,both,10,401123,435,5,18,38,168,206,252,52.62,"(id, 184)",,,,,21129,6633,14932,18399,7762,1751733,1547254,204479,236,39866279,104304,105301,5276568,5819988,,Авто
177,Digitollblog.com,56,Dofollow,"Качественный сайт для размещения поста после предварительной регистрации. Вставляем пост внутри админки, после чего получаем ссылку на статью, которую можно проиндексировать.",subdomains,both,11,447849,4,,,,,4,,0.00,"(gb, 0)",,,,,20302,5659,14923,17644,7598,1696112,1511802,184310,245,14992300,69592,70311,2054400,2292806,,Авто
178,4kquan.com,52,Dofollow,https://www.google.com/search?q=site%3Ahttps%3A%2F%2F4kquan.com,subdomains,both,0.2,629991,,,,,,,,,,,,,,3213,638,2598,3026,1951,69809,48669,21140,13,390,,1,,268,,Полуавто
179,socialrus.com,53,Dofollow,,subdomains,both,10,573582,9,,,,1,8,,0.00,"(kw, 0)",,,,,11979,3819,8242,10515,5106,631564,563046,68518,45,16180579,20458,20459,855470,1291751,,Полуавто
180,socialmediainuk.com,58,Dofollow,,subdomains,both,14,352521,12,,,,3,9,,0.00,"(us, 0)",,,,,15905,4868,11239,14587,6396,1522437,856873,665564,82,17183783,21066,21067,888076,1351741,,Полуавто
181,forum.caswellplating.com,49,Dofollow,форумная,subdomains,both,14,838497,1786,4,90,259,830,603,280,139.26,"(us, 277)",,,,,2250,1094,1206,1892,1454,32455,22907,9548,4,337414,34,39,5522,8200,,Полуавто
182,mymeetbook.com,62,Nofollow,статейная,subdomains,both,16,240671,1893,4,25,66,684,1114,321,апр.46,"(mm, 122)",,,,,20474,7187,13971,18452,8036,1928098,1165120,762978,147,1225,2,14,7297,12827,,Полуавто
183,Francaisfsc.ca,24,dofollow,"Можно зарегистрироваться используя почту Google, что существенно ускоряет процесс. В созданном аккаунте находим поле About и вписываем текст с нужной ссылкой. Можно сделать ссылку Nofollow при необходимости.",subdomains,both,0,8989120,,,,,,,,,,,,,,1899,458,1469,1776,1344,8923,5143,3780,261,,,,,,,Полуавто
